nome,instagram,telefone,email,status,origem,vendedor,nota,score,ultima_interacao,valor_estimado,created_at
Pedro Mendes,@pedromendes224,(11) 95573-8407,pedro.mendes@email.com,fechado,Indicação,Fernando,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,9,2025-09-29,1803.62,2025-09-14T22:06:56.212207
Natalia Nascimento,@natalianascimento582,(11) 92388-8482,natalia.nascimento@email.com,negociacao,Google Ads,Ana,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,10,2025-09-28,1980.58,2025-08-31T22:06:56.212207
Bianca Monteiro,@biancamonteiro170,(11) 94244-5528,bianca.monteiro@email.com,perdido,Indicação,Fernando,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,1,2025-10-01,1738.33,2025-08-05T22:06:56.212207
Maria Fernanda,@mariafernanda657,(11) 91022-2046,maria.fernanda@email.com,perdido,Indicação,Ana,Lead captado via Instagram. Demonstrou interesse em curso de vendas.,4,2025-09-28,1505.6,2025-08-31T22:06:56.212207
Bruna Carvalho,@brunacarvalho659,(11) 98109-7421,bruna.carvalho@email.com,fechado,Anúncio Facebook,Fernando,Lead captado via Google Ads. Demonstrou interesse em curso de vendas.,8,2025-09-28,2927.75,2025-08-17T22:06:56.212207
Igor Lopes,@igorlopes165,(11) 99031-7010,igor.lopes@email.com,fechado,Anúncio Facebook,Fernando,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,9,2025-09-21,2933.26,2025-09-14T22:06:56.212207
Felipe Costa,@felipecosta585,(11) 94768-9840,felipe.costa@email.com,perdido,Google Ads,Fernando,Lead captado via Evento. Demonstrou interesse em curso de vendas.,1,2025-09-22,2555.13,2025-09-15T22:06:56.212207
Carlos Eduardo,@carloseduardo175,(11) 95514-1957,carlos.eduardo@email.com,perdido,Evento,Fernando,Lead captado via Evento. Demonstrou interesse em curso de vendas.,3,2025-09-24,2697.64,2025-09-08T22:06:56.212207
Natalia Nascimento,@natalianascimento960,(11) 93677-8741,natalia.nascimento@email.com,novo,Anúncio Facebook,Fernando,Lead captado via Evento. Demonstrou interesse em curso de vendas.,4,2025-09-29,2405.14,2025-09-27T22:06:56.212207
Fabio Rocha,@fabiorocha920,(11) 94243-1573,fabio.rocha@email.com,novo,Google Ads,Fernando,Lead captado via Evento. Demonstrou interesse em curso de vendas.,1,2025-09-30,2257.08,2025-09-28T22:06:56.212207
Beatriz Almeida,@beatrizalmeida427,(11) 99083-6949,beatriz.almeida@email.com,contatado,WhatsApp,Fernando,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,5,2025-09-22,1892.81,2025-08-17T22:06:56.212207
Beatriz Almeida,@beatrizalmeida823,(11) 92489-2922,beatriz.almeida@email.com,negociacao,WhatsApp,Fernando,Lead captado via Evento. Demonstrou interesse em curso de vendas.,9,2025-09-26,1924.23,2025-08-28T22:06:56.212207
Igor Lopes,@igorlopes730,(11) 94548-8356,igor.lopes@email.com,negociacao,Evento,Fernando,Lead captado via Indicação. Demonstrou interesse em curso de vendas.,10,2025-09-26,2075.46,2025-09-22T22:06:56.212207
Mateus Melo,@mateusmelo337,(11) 94118-2905,mateus.melo@email.com,novo,Evento,Fernando,Lead captado via WhatsApp. Demonstrou interesse em curso de vendas.,4,2025-09-25,1958.92,2025-09-18T22:06:56.212207
Carlos Eduardo,@carloseduardo609,(11) 95664-6923,carlos.eduardo@email.com,interessado,Indicação,Fernando,Lead captado via Evento. Demonstrou interesse em curso de vendas.,8,2025-09-23,2849.54,2025-09-08T22:06:56.212207
Tatiana Neves,@tatiananeves102,(11) 93257-9478,tatiana.neves@email.com,perdido,Instagram,Fernando,Lead captado via Anúncio Facebook. Demonstrou interesse em curso de vendas.,1,2025-09-28,2343.0,2025-09-15T22:06:56.212207
